Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,300,Greece,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,1280236,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,332,Haiti,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,149,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,344,"China, Hong Kong SAR",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,9,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,348,Hungary,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,34801,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,360,Indonesia,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,210151,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,372,Ireland,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,308631,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,376,Israel,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,43542,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,381,Italy,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,5438509,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,484,Mexico,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,30342,,,0
HS,2016,201601,January 2016,2,0,1,Imports,124,Canada,,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",0,,,,,,,,50968,,,0
